station,boardings_all,alightings_all,throughput_all,days_all,boardings_weekday,alightings_weekday,throughput_weekday,days_weekday,boardings_weekend,alightings_weekend,throughput_weekend,days_weekend,boarding_share,weekend_ratio,first_active,active_days,growth_ratio,opened_mid_window,low_coverage,is_mature
"Nadaprabhu Kempegowda Station, Majestic",34365.208333333336,46069.416666666664,80434.625,48,33343.970588235294,45234.205882352944,78578.17647058824,34,36845.357142857145,48097.78571428572,84943.14285714286,14,0.424341364051836,1.081001706484459,2025-08-01,48,1.0133371709529706,False,False,True
Benniganahalli,26055.333333333332,23534.770833333332,49590.104166666664,48,27911.676470588234,25527.058823529413,53438.73529411765,34,21547.071428571428,18696.35714285714,40243.42857142857,14,0.5223116961314138,0.7530759915992703,2025-08-01,48,1.0098026706916163,False,False,True
Indiranagar,21852.833333333332,22989.708333333332,44842.541666666664,48,24109.558823529413,25240.823529411766,49350.382352941175,34,16372.214285714286,17522.714285714286,33894.92857142857,14,0.48853844031245963,0.6868220053295799,2025-08-01,48,0.9922511075550103,False,False,True
Mahatma Gandhi Road,20982.833333333332,21573.4375,42556.270833333336,48,21280.70588235294,21820.5,43101.205882352944,34,20259.428571428572,20973.428571428572,41232.857142857145,14,0.49373806246720275,0.9566520541305605,2025-08-01,48,0.9890174192457298,False,False,True
Krishnarajapura,18843.916666666668,17446.916666666668,36290.833333333336,48,20777.470588235294,19256.264705882353,40033.73529411765,34,14148.142857142857,13052.785714285714,27200.928571428572,14,0.5189990500658636,0.6794501779958898,2025-08-01,48,1.006809972390986,False,False,True
Mantri Square Sampige Road,16594.166666666668,16566.0,33160.166666666664,48,16422.882352941175,16231.735294117647,32654.617647058825,34,17010.14285714286,17377.785714285714,34387.92857142857,14,0.5029267998310301,1.0530801169716304,2025-08-01,48,1.0214545675645157,False,False,True
Cubbon Park,13879.9375,13776.104166666666,27656.041666666668,48,15471.5,14924.058823529413,30395.558823529413,34,10014.714285714286,10988.214285714286,21002.928571428572,14,0.5090052823119476,0.6909867554456692,2025-08-01,48,1.041824159485692,False,False,True
Baiyappanahalli,13429.666666666666,12289.583333333334,25719.25,48,14913.323529411764,13693.088235294117,28606.41176470588,34,9826.5,8881.07142857143,18707.571428571428,14,0.5213280033887919,0.653964278443776,2025-08-01,48,1.0203197139120919,False,False,True
Trinity,11922.5625,11703.916666666666,23626.479166666668,48,14548.558823529413,14352.323529411764,28900.882352941175,34,5545.142857142857,5272.071428571428,10817.214285714286,14,0.5033949706400171,0.37428664473330325,2025-08-01,48,1.0203966405533207,False,False,True
Pattandur Agrahara,11010.5625,10924.375,21934.9375,48,14182.64705882353,14051.29411764706,28233.941176470587,34,3306.9285714285716,3330.4285714285716,6637.357142857143,14,0.5023261531281707,0.23508432993366649,2025-08-01,48,0.9935553033169379,False,False,True
