station_id,name,phase,Line,Layout,confidence,position_source,catchment_area_km2,population,population_density,built_volume,built_volume_density,built_surface,built_surface_density,population_2030,population_core400,core_share,intersection_count,intersection_density,street_length_km,street_density,circuity,pnr,network_catchment_km2,poi_education,poi_healthcare,poi_retail,poi_office,poi_government,poi_transport,poi_leisure,poi_total,dist_cbd_km,dist_nearest_centre_km,bus_stops_500m,parking_area_m2,competing_rail_1km,metro_betweenness,metro_degree,metro_closeness,is_interchange,is_terminal,city,poi_total_pctl,poi_education_pctl,poi_healthcare_pctl,poi_retail_pctl,poi_office_pctl,poi_government_pctl,poi_transport_pctl,poi_leisure_pctl,bus_stops_500m_pctl,parking_area_m2_pctl
MAA000,Chennai International Airport,phase1,Blue Line,Elevated,high,osm,2.007391033949412,12977.482585619204,6464.850328681028,2268368.0,1130008.036120961,291266.0,145096.79234092872,14430.514607699588,4519.53759752214,0.3482599624160078,84,41.845359762684325,44.93303698931911,22.383798786286434,1.0039043986797522,0.07154571427151235,0.14385119382477926,0.0,0.0,29.0,1.0,0.0,2.0,0.0,32.0,18.285016301362038,6.7536201928185315,1,26628.496192769293,1,0.0,1.0,5.4344386665051973e-05,0,1,chennai,0.5074626865671642,0.06343283582089553,0.04477611940298507,0.8731343283582089,0.35447761194029853,0.40298507462686567,0.6940298507462687,0.12686567164179105,0.2537313432835821,1.0
MAA001,Meenambakkam,phase1,Blue Line,Elevated,high,osm,2.007391033949412,10581.195499813184,5271.118242964037,3191713.0,1589980.6993361483,384094.0,191339.90015105324,11296.308659177274,3668.524019598961,0.34670222468375433,94,46.82695021062293,45.3200026312669,22.576569220847187,1.0040511292711316,0.1155513705477756,0.23232981556807925,1.0,0.0,3.0,1.0,0.0,2.0,0.0,7.0,16.79776790040295,5.22735136324918,1,2043.4999000962475,1,0.014978024520009252,2.0,5.924124245074187e-05,0,0,chennai,0.10820895522388059,0.20522388059701493,0.04477611940298507,0.3208955223880597,0.35447761194029853,0.40298507462686567,0.6940298507462687,0.12686567164179105,0.2537313432835821,0.8283582089552238
MAA002,St. Thomas Mount,phase1,Green Line,Elevated,high,osm,2.007391033949412,46630.23624753952,23229.27394758636,6776843.0,3375945.6355979634,749002.0,373122.1208686915,49202.560266017914,14043.224571228027,0.3011613429680839,342,170.37039331950047,93.94393784330941,46.79902234019686,1.0048525783422417,0.1658887483451029,0.33353911879307596,1.0,5.0,3.0,3.0,1.0,4.0,2.0,19.0,14.55692323014399,2.715935011596884,1,0.0,1,0.02703562340966921,2.0,6.704479402066701e-05,0,0,chennai,0.33955223880597013,0.20522388059701493,0.44029850746268656,0.3208955223880597,0.585820895522388,0.8731343283582089,0.9402985074626866,0.40298507462686567,0.2537313432835821,0.35074626865671643
MAA003,Nanganallur Road,phase1,Blue Line,Elevated,high,osm,2.007391033949412,21940.877880088054,10930.04676668342,3703408.0,1844886.191761943,433656.0,216029.6587291266,23148.094550017267,3105.6654563248158,0.14154700068511353,183,91.16310519727656,57.392963567571556,28.59082390871031,1.0052474850886592,0.1522923798488142,0.30620199790767416,3.0,1.0,2.0,3.0,2.0,3.0,3.0,17.0,14.498483137448225,2.9807103591083606,4,2635.459826203384,1,0.058437427712236874,3.0,6.848736246032628e-05,1,0,chennai,0.30970149253731344,0.417910447761194,0.12313432835820895,0.25,0.585820895522388,0.9552238805970149,0.8694029850746269,0.5447761194029851,0.6119402985074627,0.8731343283582089
MAA004,Arignar Anna Alandur,phase1,Blue Line,Elevated,high,osm,2.007391033949412,44702.30560741946,22268.857861475335,6241699.0,3109358.8117307974,659481.0,328526.42501970025,47175.13726608455,11331.586823564023,0.2534899860217336,311,154.92746293089075,87.61277780331396,43.64509770223567,1.0053215140788998,0.3243447664145163,0.6521338466548108,9.0,9.0,3.0,3.0,1.0,2.0,0.0,27.0,13.59052535540238,2.0940445561365335,5,5217.936036537689,0,0.15111034004163776,3.0,7.150020645068306e-05,1,0,chennai,0.43283582089552236,0.7985074626865671,0.582089552238806,0.3208955223880597,0.585820895522388,0.8731343283582089,0.6940298507462687,0.12686567164179105,0.7126865671641791,0.917910447761194
MAA005,Ekkattuthangal,phase1,Green Line,Elevated,high,osm,2.007391033949412,81427.14446103573,40563.66850500129,11357151.0,5657667.493739643,789065.0,393079.8666802679,85931.84426760674,21689.58856201172,0.26636803618221633,383,190.79491415604875,93.44835474926006,46.55214313944926,1.0049560117851402,0.3092322071175187,0.6217482432856026,1.0,1.0,6.0,10.0,1.0,1.0,0.0,20.0,12.292510895678575,1.9967068857661467,5,4106.942779238876,0,0.023883876937312053,2.0,6.568943800553627e-05,0,0,chennai,0.35074626865671643,0.20522388059701493,0.12313432835820895,0.47388059701492535,0.8880597014925373,0.8731343283582089,0.43283582089552236,0.12686567164179105,0.7126865671641791,0.8955223880597015
MAA006,Ashok Nagar,phase1,Green Line,Elevated,high,osm,2.007391033949412,63864.96164703369,31814.90828988287,8907644.0,4437423.426403767,823419.0,410193.6225051162,67398.0892944336,14623.058250427246,0.2289684025999323,404,201.25625409671983,101.9351041945477,50.77989413651858,1.0049753499770666,0.5030422957872254,1.0114265477696582,12.0,19.0,38.0,8.0,0.0,3.0,5.0,85.0,10.48267549416248,2.5789536667394932,11,0.0,0,0.028452463566967384,2.0,6.991067641479994e-05,0,0,chennai,0.9477611940298507,0.917910447761194,0.8507462686567164,0.9253731343283582,0.7985074626865671,0.40298507462686567,0.8694029850746269,0.7873134328358209,0.9514925373134329,0.35074626865671643
MAA007,Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,phase1,Green Line,Elevated,high,osm,2.007391033949412,51142.12698242068,25476.913126289033,7133111.0,3553423.7621685825,664817.0,331184.6016827203,54012.421165809035,11479.196260124445,0.22445676270113368,319,158.91273528924165,86.54207302282848,43.1117164315328,1.0048319701717163,0.08504673159350601,0.17099659979902812,2.0,2.0,13.0,10.0,0.0,11.0,11.0,49.0,9.462656896334781,4.396019928034688,11,8248.490659228662,0,0.05097733055748323,2.0,7.183023361686032e-05,0,0,chennai,0.6716417910447762,0.332089552238806,0.19402985074626866,0.6753731343283582,0.8880597014925373,0.40298507462686567,0.9925373134328358,0.9776119402985075,0.9514925373134329,0.9552238805970149
MAA008,Koyambedu,phase1,Green Line,Elevated,high,osm,2.007391033949412,43575.79091772437,21707.674379710577,6077787.0,3027704.566380546,642705.0,320169.3088842384,45986.484273441136,11753.665836334229,0.269729259958273,203,101.12628609315378,76.80697618592181,38.26208989028364,1.0052731225684963,0.10621616769809719,0.21356027656499432,2.0,2.0,15.0,7.0,0.0,3.0,0.0,29.0,10.282083470574127,5.5030889485885375,1,12287.826555572528,0,0.05198935924126764,2.0,7.242311443365683e-05,0,0,chennai,0.47388059701492535,0.332089552238806,0.19402985074626866,0.7126865671641791,0.753731343283582,0.40298507462686567,0.8694029850746269,0.12686567164179105,0.2537313432835821,0.9776119402985075
MAA009,Anna Nagar Tower,phase1,Green Line,Underground,high,osm,2.007391033949412,71174.26441192627,35456.10357335088,9927118.0,4945283.620435944,840219.0,418562.6944576531,75111.75650024414,18848.925117492676,0.26482781765615643,255,127.03055642243456,89.231952515416,44.4517042301708,1.0053528603775388,0.3371389116512699,0.6778580019730482,8.0,9.0,19.0,7.0,0.0,0.0,5.0,48.0,8.591963957191929,5.518847185513414,4,0.0,0,0.1669269026139255,2.0,7.554213178915561e-05,0,0,chennai,0.6529850746268657,0.7276119402985075,0.582089552238806,0.7835820895522388,0.753731343283582,0.40298507462686567,0.15298507462686567,0.7873134328358209,0.6119402985074627,0.35074626865671643
