cmrl_name,boardings_weekday,days_observed,boardings_sd,boardings_weekend,weekend_ratio,station,city,is_mature,target_kind
CENTRAL METRO,27379.0,1,,27379.0,1.0,Puratchi Thalaivar Dr. M.G. Ramachandran Central,chennai,True,daily_boardings
CHENNAI AIRPORT,18156.0,1,,18156.0,1.0,Chennai International Airport,chennai,True,daily_boardings
VADAPALANI,14398.0,1,,14398.0,1.0,Vadapalani,chennai,True,daily_boardings
THIRUMANGALAM,13988.0,1,,13988.0,1.0,Thirumangalam,chennai,True,daily_boardings
THOUSAND LIGHT,12821.0,1,,12821.0,1.0,Thousand Lights,chennai,True,daily_boardings
GUINDY,12722.0,1,,12722.0,1.0,Guindy,chennai,True,daily_boardings
KOYAMBEDU,10981.0,1,,10981.0,1.0,Koyambedu,chennai,True,daily_boardings
ALANDUR,10188.0,1,,10188.0,1.0,Arignar Anna Alandur,chennai,True,daily_boardings
HIGH COURT,9750.0,1,,9750.0,1.0,High Court,chennai,True,daily_boardings
GOVERNMENT ESTATE,9381.0,1,,9381.0,1.0,Government Estate,chennai,True,daily_boardings
LIC,8018.0,1,,8018.0,1.0,LIC,chennai,True,daily_boardings
ASHOK NAGAR,7598.0,1,,7598.0,1.0,Ashok Nagar,chennai,True,daily_boardings
St. THOMAS MOUNT,7330.0,1,,7330.0,1.0,St. Thomas Mount,chennai,True,daily_boardings
CMBT,6878.0,1,,6878.0,1.0,Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,chennai,True,daily_boardings
TEYNAMPET,6585.0,1,,6585.0,1.0,Teynampet,chennai,True,daily_boardings
WASHERMANPET,6521.0,1,,6521.0,1.0,Washermanpet,chennai,True,daily_boardings
ANNA NAGAR EAST,6387.0,1,,6387.0,1.0,Anna Nagar East,chennai,True,daily_boardings
MEENAMBAKKAM,6283.0,1,,6283.0,1.0,Meenambakkam,chennai,True,daily_boardings
ANNA NAGAR TOWER,6155.0,1,,6155.0,1.0,Anna Nagar Tower,chennai,True,daily_boardings
MANNADI,5956.0,1,,5956.0,1.0,Mannadi,chennai,True,daily_boardings
THIYAGARAYA COLLEGE METRO,5862.0,1,,5862.0,1.0,Sir Theagaraya College,chennai,True,daily_boardings
TONDIARPET METRO,5680.0,1,,5680.0,1.0,Tondiarpet,chennai,True,daily_boardings
THIRUVOTRIYUR THERADI METRO,5578.0,1,,5578.0,1.0,Tiruvottriyur Theradi,chennai,True,daily_boardings
EKKATTUTHANGAL,5534.0,1,,5534.0,1.0,Ekkattuthangal,chennai,True,daily_boardings
EGMORE,5439.0,1,,5439.0,1.0,Egmore,chennai,True,daily_boardings
LITTLE MOUNT,5290.0,1,,5290.0,1.0,Little Mount,chennai,True,daily_boardings
AG-DMS,5265.0,1,,5265.0,1.0,AG – DMS,chennai,True,daily_boardings
ARUMBAKKAM,5029.0,1,,5029.0,1.0,Arumbakkam,chennai,True,daily_boardings
WIMCO NAGAR METRO,4765.0,1,,4765.0,1.0,Wimco Nagar,chennai,True,daily_boardings
SAIDAPET,4508.0,1,,4508.0,1.0,Saidapet,chennai,True,daily_boardings
NANDANAM,4476.0,1,,4476.0,1.0,Nandanam,chennai,True,daily_boardings
KALADIPET METRO,4402.0,1,,4402.0,1.0,Kaladipet,chennai,True,daily_boardings
NEW WASHERMENPET METRO,4101.0,1,,4101.0,1.0,New Washermanpet,chennai,True,daily_boardings
THIRUVOTRIYUR METRO,4035.0,1,,4035.0,1.0,Tiruvottriyur,chennai,True,daily_boardings
SHENOY NAGAR,3283.0,1,,3283.0,1.0,Shenoy Nagar,chennai,True,daily_boardings
NEHRU PARK,2735.0,1,,2735.0,1.0,Nehru Park,chennai,True,daily_boardings
KILPAUK,2511.0,1,,2511.0,1.0,Kilpauk,chennai,True,daily_boardings
OTA - NANGANALLUR ROAD,2444.0,1,,2444.0,1.0,Nanganallur Road,chennai,True,daily_boardings
PACHAIAPPA S COLLEGE,2405.0,1,,2405.0,1.0,Pachaiyappa's College,chennai,True,daily_boardings
TOLLGATE METRO,2175.0,1,,2175.0,1.0,Tollgate,chennai,True,daily_boardings
