station_id,name,feature,value,dimension
MAA000,Chennai International Airport,population,12977.482585619204,Density
MAA001,Meenambakkam,population,10581.195499813184,Density
MAA002,St. Thomas Mount,population,46630.23624753952,Density
MAA003,Nanganallur Road,population,21940.877880088054,Density
MAA004,Arignar Anna Alandur,population,44702.30560741946,Density
MAA005,Ekkattuthangal,population,81427.14446103573,Density
MAA006,Ashok Nagar,population,63864.96164703369,Density
MAA007,Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,population,51142.12698242068,Density
MAA008,Koyambedu,population,43575.79091772437,Density
MAA009,Anna Nagar Tower,population,71174.26441192627,Density
MAA010,Thirumangalam,population,64030.96111297608,Density
MAA011,Guindy,population,48651.25823492929,Density
MAA012,Little Mount,population,59513.747018516064,Density
MAA013,Saidapet,population,54300.62207790837,Density
MAA014,Nandanam,population,80174.8519359827,Density
MAA015,Teynampet,population,102718.69354248048,Density
MAA016,AG – DMS,population,92481.70201051237,Density
MAA017,Vadapalani,population,85460.5411529541,Density
MAA018,Thousand Lights,population,86627.3349571228,Density
MAA019,Arumbakkam,population,64799.26414936781,Density
MAA020,Pachaiyappa's College,population,70036.30714654922,Density
MAA021,Kilpauk,population,81840.02479171753,Density
MAA022,Nehru Park,population,77290.18137264252,Density
MAA023,Shenoy Nagar,population,67172.38536152244,Density
MAA024,Anna Nagar East,population,64516.57073020935,Density
MAA025,LIC,population,89377.32365036011,Density
MAA026,Government Estate,population,74210.36616053432,Density
MAA027,Egmore,population,68718.74935388565,Density
MAA028,Puratchi Thalaivar Dr. M.G. Ramachandran Central,population,64304.36279058456,Density
MAA029,High Court,population,75007.34068369865,Density
MAA030,Mannadi,population,91723.73756408691,Density
MAA031,Washermanpet,population,53560.79716071487,Density
MAA032,Sir Theagaraya College,population,61039.65581512451,Density
MAA033,Tondiarpet,population,62020.34671783447,Density
MAA034,New Washermanpet,population,46366.96077534557,Density
MAA035,Tollgate,population,34703.520378023386,Density
MAA036,Kaladipet,population,43140.06767130457,Density
MAA037,Tiruvottriyur Theradi,population,45511.51930982806,Density
MAA038,Tiruvottriyur,population,33284.76943393052,Density
MAA039,Wimco Nagar,population,25060.747873272747,Density
MAA040,Adambakkam,population,52808.56857299805,Density
MAA041,Alwarpet,population,76749.49401855469,Density
MAA042,Bharathidasan Road,population,78042.76831054688,Density
MAA043,Boat Club,population,73229.86198174953,Density
MAA044,Karayanchavadi,population,34959.796113967896,Density
MAA045,Kodambakkam,population,79537.39579772949,Density
MAA046,Kumananchavadi,population,21539.608627557755,Density
MAA047,Kutchery Road,population,65620.19251406193,Density
MAA048,Lighthouse,population,23873.29382494092,Density
MAA049,Madhavaram Depot,population,14752.080395635216,Density
