date,hour,time_label,boardings,share_of_day
2026-08-17,0,00:00,10,0.0
2026-08-17,1,01:00,3,0.0
2026-08-17,2,02:00,7,0.0
2026-08-17,3,03:00,1280,0.0033
2026-08-17,4,04:00,4347,0.011
2026-08-17,5,05:00,10043,0.0255
2026-08-17,6,06:00,17116,0.0435
2026-08-17,7,07:00,31930,0.0812
2026-08-17,8,08:00,46820,0.119
2026-08-17,9,09:00,31653,0.0804
2026-08-17,10,10:00,17001,0.0432
2026-08-17,11,11:00,15869,0.0403
2026-08-17,12,12:00,19590,0.0498
2026-08-17,13,13:00,19520,0.0496
2026-08-17,14,14:00,16107,0.0409
2026-08-17,15,15:00,17628,0.0448
2026-08-17,16,16:00,26379,0.067
2026-08-17,17,17:00,39535,0.1005
2026-08-17,18,18:00,35747,0.0909
2026-08-17,19,19:00,22673,0.0576
2026-08-17,20,20:00,12572,0.032
2026-08-17,21,21:00,6093,0.0155
2026-08-17,22,22:00,1544,0.0039
2026-08-18,0,00:00,20,0.0001
2026-08-18,1,01:00,4,0.0
2026-08-18,2,02:00,873,0.0022
2026-08-18,3,03:00,3389,0.0087
2026-08-18,4,04:00,7268,0.0186
2026-08-18,5,05:00,15895,0.0407
2026-08-18,6,06:00,33193,0.085
2026-08-18,7,07:00,49427,0.1265
2026-08-18,8,08:00,31081,0.0796
2026-08-18,9,09:00,16376,0.0419
2026-08-18,10,10:00,14974,0.0383
2026-08-18,11,11:00,17451,0.0447
2026-08-18,12,12:00,17690,0.0453
2026-08-18,13,13:00,15914,0.0407
2026-08-18,14,14:00,17385,0.0445
2026-08-18,15,15:00,25042,0.0641
2026-08-18,16,16:00,39921,0.1022
2026-08-18,17,17:00,38851,0.0995
2026-08-18,18,18:00,24371,0.0624
2026-08-18,19,19:00,13460,0.0345
2026-08-18,20,20:00,6430,0.0165
2026-08-18,21,21:00,1621,0.0041
2026-08-19,0,00:00,11,0.0
2026-08-19,1,01:00,3,0.0
2026-08-19,2,02:00,3,0.0
2026-08-19,3,03:00,814,0.0021
2026-08-19,4,04:00,3192,0.0082
2026-08-19,5,05:00,6721,0.0172
2026-08-19,6,06:00,14965,0.0382
2026-08-19,7,07:00,31752,0.0811
2026-08-19,8,08:00,47629,0.1216
2026-08-19,9,09:00,31555,0.0806
2026-08-19,10,10:00,16958,0.0433
2026-08-19,11,11:00,15282,0.039
2026-08-19,12,12:00,18455,0.0471
2026-08-19,13,13:00,18896,0.0483
2026-08-19,14,14:00,15790,0.0403
2026-08-19,15,15:00,17948,0.0458
2026-08-19,16,16:00,25588,0.0654
2026-08-19,17,17:00,40570,0.1036
2026-08-19,18,18:00,38108,0.0973
2026-08-19,19,19:00,24584,0.0628
2026-08-19,20,20:00,14345,0.0366
2026-08-19,21,21:00,6780,0.0173
2026-08-19,22,22:00,1604,0.0041
