date,day_name,day_type,line,station_cmrl,boardings
2026-08-16,Sunday,Weekend,1,AG-DMS,2324
2026-08-16,Sunday,Weekend,1,ALANDUR,2857
2026-08-16,Sunday,Weekend,1,CENTRAL METRO,13042
2026-08-16,Sunday,Weekend,1,CHENNAI AIRPORT,15071
2026-08-16,Sunday,Weekend,1,GOVERNMENT ESTATE,5081
2026-08-16,Sunday,Weekend,1,GUINDY,8360
2026-08-16,Sunday,Weekend,1,HIGH COURT,3599
2026-08-16,Sunday,Weekend,1,KALADIPET METRO,3260
2026-08-16,Sunday,Weekend,1,LIC,3680
2026-08-16,Sunday,Weekend,1,LITTLE MOUNT,3363
2026-08-16,Sunday,Weekend,1,MANNADI,3456
2026-08-16,Sunday,Weekend,1,MEENAMBAKKAM,4033
2026-08-16,Sunday,Weekend,1,NANDANAM,2019
2026-08-16,Sunday,Weekend,1,NEW WASHERMENPET METRO,2783
2026-08-16,Sunday,Weekend,1,OTA - NANGANALLUR ROAD,1095
2026-08-16,Sunday,Weekend,1,SAIDAPET,3326
2026-08-16,Sunday,Weekend,1,TEYNAMPET,2852
2026-08-16,Sunday,Weekend,1,THIRUVOTRIYUR METRO,3087
2026-08-16,Sunday,Weekend,1,THIRUVOTRIYUR THERADI METRO,4224
2026-08-16,Sunday,Weekend,1,THIYAGARAYA COLLEGE METRO,4309
2026-08-16,Sunday,Weekend,1,THOUSAND LIGHT,5047
2026-08-16,Sunday,Weekend,1,TOLLGATE METRO,1829
2026-08-16,Sunday,Weekend,1,TONDIARPET METRO,3718
2026-08-16,Sunday,Weekend,1,WASHERMANPET,4003
2026-08-16,Sunday,Weekend,1,WIMCO NAGAR DEPOT,3183
2026-08-16,Sunday,Weekend,1,WIMCO NAGAR METRO,2965
2026-08-16,Sunday,Weekend,2,ALANDUR,4018
2026-08-16,Sunday,Weekend,2,ANNA NAGAR EAST,3712
2026-08-16,Sunday,Weekend,2,ANNA NAGAR TOWER,3679
2026-08-16,Sunday,Weekend,2,ARUMBAKKAM,2952
2026-08-16,Sunday,Weekend,2,ASHOK NAGAR,4372
2026-08-16,Sunday,Weekend,2,CENTRAL METRO,7568
2026-08-16,Sunday,Weekend,2,CMBT,5729
2026-08-16,Sunday,Weekend,2,EGMORE,4506
2026-08-16,Sunday,Weekend,2,EKKATTUTHANGAL,2842
2026-08-16,Sunday,Weekend,2,KILPAUK,1294
2026-08-16,Sunday,Weekend,2,KOYAMBEDU,9042
2026-08-16,Sunday,Weekend,2,NEHRU PARK,1872
2026-08-16,Sunday,Weekend,2,PACHAIAPPA S COLLEGE,1418
2026-08-16,Sunday,Weekend,2,SHENOY NAGAR,1898
2026-08-16,Sunday,Weekend,2,St. THOMAS MOUNT,5212
2026-08-16,Sunday,Weekend,2,THIRUMANGALAM,9140
2026-08-16,Sunday,Weekend,2,VADAPALANI,10793
2026-08-17,Monday,Weekday,1,AG-DMS,9167
2026-08-17,Monday,Weekday,1,ALANDUR,6616
2026-08-17,Monday,Weekday,1,CENTRAL METRO,19869
2026-08-17,Monday,Weekday,1,CHENNAI AIRPORT,19893
2026-08-17,Monday,Weekday,1,GOVERNMENT ESTATE,10634
2026-08-17,Monday,Weekday,1,GUINDY,17372
2026-08-17,Monday,Weekday,1,HIGH COURT,13539
2026-08-17,Monday,Weekday,1,KALADIPET METRO,5512
2026-08-17,Monday,Weekday,1,LIC,11469
2026-08-17,Monday,Weekday,1,LITTLE MOUNT,7386
2026-08-17,Monday,Weekday,1,MANNADI,6880
2026-08-17,Monday,Weekday,1,MEENAMBAKKAM,7855
2026-08-17,Monday,Weekday,1,NANDANAM,7958
2026-08-17,Monday,Weekday,1,NEW WASHERMENPET METRO,5198
2026-08-17,Monday,Weekday,1,OTA - NANGANALLUR ROAD,3091
2026-08-17,Monday,Weekday,1,SAIDAPET,7667
2026-08-17,Monday,Weekday,1,TEYNAMPET,10642
2026-08-17,Monday,Weekday,1,THIRUVOTRIYUR METRO,5015
2026-08-17,Monday,Weekday,1,THIRUVOTRIYUR THERADI METRO,6165
2026-08-17,Monday,Weekday,1,THIYAGARAYA COLLEGE METRO,7263
2026-08-17,Monday,Weekday,1,THOUSAND LIGHT,19138
2026-08-17,Monday,Weekday,1,TOLLGATE METRO,2698
2026-08-17,Monday,Weekday,1,TONDIARPET METRO,7017
2026-08-17,Monday,Weekday,1,WASHERMANPET,8476
2026-08-17,Monday,Weekday,1,WIMCO NAGAR DEPOT,5587
2026-08-17,Monday,Weekday,1,WIMCO NAGAR METRO,6042
2026-08-17,Monday,Weekday,2,ALANDUR,6364
2026-08-17,Monday,Weekday,2,ANNA NAGAR EAST,7377
2026-08-17,Monday,Weekday,2,ANNA NAGAR TOWER,6366
2026-08-17,Monday,Weekday,2,ARUMBAKKAM,5072
2026-08-17,Monday,Weekday,2,ASHOK NAGAR,9905
2026-08-17,Monday,Weekday,2,CENTRAL METRO,13850
2026-08-17,Monday,Weekday,2,CMBT,8269
2026-08-17,Monday,Weekday,2,EGMORE,6004
2026-08-17,Monday,Weekday,2,EKKATTUTHANGAL,9115
2026-08-17,Monday,Weekday,2,KILPAUK,2961
2026-08-17,Monday,Weekday,2,KOYAMBEDU,14677
2026-08-17,Monday,Weekday,2,NEHRU PARK,3109
2026-08-17,Monday,Weekday,2,PACHAIAPPA S COLLEGE,3438
2026-08-17,Monday,Weekday,2,SHENOY NAGAR,3692
2026-08-17,Monday,Weekday,2,St. THOMAS MOUNT,8518
2026-08-17,Monday,Weekday,2,THIRUMANGALAM,16975
2026-08-17,Monday,Weekday,2,VADAPALANI,13040
2026-08-18,Tuesday,Weekday,1,AG-DMS,9586
2026-08-18,Tuesday,Weekday,1,ALANDUR,6577
2026-08-18,Tuesday,Weekday,1,CENTRAL METRO,21823
2026-08-18,Tuesday,Weekday,1,CHENNAI AIRPORT,19042
2026-08-18,Tuesday,Weekday,1,GOVERNMENT ESTATE,11172
