date,medium,count
2026-08-17,total Tickets,393467
2026-08-18,total Tickets,390922
2026-08-19,total Tickets,391553
2026-08-17,NCMCcard,211337
2026-08-18,NCMCcard,219433
2026-08-19,NCMCcard,219797
2026-08-17,Mobile QR,5023
2026-08-18,Mobile QR,4811
2026-08-19,Mobile QR,4933
2026-08-17,Static QR,7288
2026-08-18,Static QR,6728
2026-08-19,Static QR,7035
2026-08-17,Paper QR,79173
2026-08-18,Paper QR,70189
2026-08-19,Paper QR,71160
2026-08-17,Paytm QR,10128
2026-08-18,Paytm QR,9647
2026-08-19,Paytm QR,9746
2026-08-17,Whats App QR,15340
2026-08-18,Whats App QR,14329
2026-08-19,Whats App QR,14375
2026-08-17,Phone Pe QR,9645
2026-08-18,Phone Pe QR,9093
2026-08-19,Phone Pe QR,8379
2026-08-17,Total_QR,182130
2026-08-18,Total_QR,171489
2026-08-19,Total_QR,171756
2026-08-17,Red Bus QR,1053
2026-08-18,Red Bus QR,1071
2026-08-19,Red Bus QR,1072
2026-08-17,Rapido QR,25444
2026-08-18,Rapido QR,26120
2026-08-19,Rapido QR,26087
2026-08-17,Jus Pay QR,168
2026-08-18,Jus Pay QR,120
2026-08-19,Jus Pay QR,115
2026-08-17,ONDCQR,41658
2026-08-18,ONDCQR,42297
2026-08-19,ONDCQR,41969
2026-08-17,SVP,3998
2026-08-18,SVP,4511
2026-08-19,SVP,4222
2026-08-17,Uber QR,14993
2026-08-18,Uber QR,14986
2026-08-19,Uber QR,14695
2026-08-17,Cumta QR,9877
2026-08-18,Cumta QR,9884
2026-08-19,Cumta QR,9937
